rank,title,description,runtime(min),genre,rating,metascore,votes,gross,director,actors
91.,Fighting with My Family,A former wrestler and his family make a living performing at small venues around the country while his kids dream of joining World Wrestling Entertainment.,108,"Biography, Comedy, Drama",7.1,68.0,"60,044",$30.82M,Stephen Merchant,"Dwayne Johnson, Lena Headey, Vince Vaughn, Florence Pugh"
92.,Triple Frontier,"Loyalties are tested when five friends and former special forces operatives reunite to take down a South American drug lord, unleashing a chain of unintended consequences.",125,"Action, Adventure, Crime",6.4,61.0,"28,929",$25.09M,J.C. Chandor,"Ben Affleck, Oscar Isaac, Charlie Hunnam, Garrett Hedlund"
93.,21 Bridges,An embattled NYPD detective is thrust into a citywide manhunt for a pair of cop killers after uncovering a massive and unexpected conspiracy.,99,"Action, Crime, Drama",6.6,51.0,291,,Brian Kirk,"Chadwick Boseman, Sienna Miller, J.K. Simmons, Stephan James"
94.,"Extremely Wicked, Shockingly Evil and Vile","A chronicle of the crimes of Ted Bundy from the perspective of Liz, his longtime girlfriend, who refused to believe the truth about him for years.",110,"Biography, Crime, Drama",6.6,52.0,"98,680",$115.72M,Joe Berlinger,"Lily Collins, Zac Efron, Angela Sarafyan, Sydney Vollmer"
95.,Cats,A tribe of cats called the Jellicles must decide yearly which one will ascend to the Heaviside Layer and come back to a new Jellicle life.,110,"Comedy, Drama, Family",2.7,32.0,"136,976",$101.03M,Tom Hooper,"James Corden, Judi Dench, Jason Derulo, Idris Elba"
96.,Official Secrets,The true story of a British whistleblower who leaked information to the press about an illegal NSA spy operation designed to push the UN Security Council into sanctioning the 2003 invasion of Iraq.,112,"Biography, Crime, Drama",7.3,63.0,"106,440",$58.03M,Gavin Hood,"Keira Knightley, Matt Smith, Matthew Goode, Rhys Ifans"
97.,Waves,"Traces the journey of a suburban family - led by a well-intentioned but domineering father - as they navigate love, forgiveness, and coming together in the aftermath of a loss.",135,"Drama, Romance, Sport",7.6,80.0,"62,242",$36.11M,Trey Edward Shults,"Kelvin Harrison Jr., Lucas Hedges, Taylor Russell, Alexa Demie"
98.,Long Shot,"Journalist Fred Flarsky reunites with his childhood crush, Charlotte Field, now one of the most influential women in the world. As she prepares to make a run for the Presidency, Charlotte hires Fred as her speechwriter and sparks fly.",125,"Comedy, Romance",6.8,67.0,"43,645",$0.72M,Jonathan Levine,"Charlize Theron, Seth Rogen, June Diane Raphael, O'Shea Jackson Jr."
99.,Calm with Horses,"Douglas 'Arm' Armstrong has become the feared enforcer for the drug-dealing Devers family, whilst also trying to be a good father. Torn between these two families, Arm's loyalties are tested when he is asked to kill for the first time.",100,"Crime, Drama",6.8,67.0,"36,560",$16.47M,Nick Rowland,"Cosmo Jarvis, Barry Keoghan, Liam Carney, David Wilmot"
100.,Sonchiriya,"Set in the Chambal valley, the film follows the story of a legion of dreaded, warring dacoits who once terrorized the Indian heartlands.",143,"Action, Crime, Drama",7.9,,"101,210",$68.42M,Abhishek Chaubey,"Sushant Singh Rajput, Bhumi Pednekar, Manoj Bajpayee, Ranvir Shorey"
